movie_id,company_id,company_name
503919,30666,RT Features
503919,6531,Parts & Labor
503919,41077,A24
503919,508,Regency Enterprises
26736,240533,Disney Channel
26736,3812,It's a Laugh Productions
10351,285,Live Entertainment
10351,21084,Image Organization
10351,24075,Pierre David
950387,174,Warner Bros. Pictures
950387,923,Legendary Pictures
950387,110691,Mojang Studios
950387,829,Vertigo Entertainment
950387,159602,On the Roam
950387,216687,Domain Entertainment
1542261,882,TOHO
1542261,15329,Fujiko Productions
1542261,9149,Shogakukan
1542261,9300,TV Asahi
1542261,5141,Shin-Ei Animation
1542261,4720,ADK
1542261,12655,Shogakukan-Shueisha Productions
118,174,Warner Bros. Pictures
118,79,Village Roadshow Pictures
118,80,The Zanuck Company
118,81,Plan B Entertainment
118,55512,Theobald Film Productions
120,12,New Line Cinema
120,11,WingNut Films
120,5237,The Saul Zaentz Company
121,12,New Line Cinema
121,11,WingNut Films
121,5237,The Saul Zaentz Company
122,12,New Line Cinema
122,11,WingNut Films
122,5237,The Saul Zaentz Company
123,286,Fantasy Films
123,4921,Bakshi Productions
123,141322,Saul Zaentz Film Productions
147576,5141,Shin-Ei Animation
751741,2575,21 Laps Entertainment
751741,436,1492 Pictures
751741,2,Walt Disney Pictures
1443961,270896,SriChakraas Entertainments
1443961,270897,A+S Movies
1443961,69124,GMB Entertainment
128,10342,Studio Ghibli
128,1778,dentsu
128,1779,Tokuma Shoten
128,6755,Nippon Television Network Corporation
128,12516,Nibariki
128,67681,TNDG
129,10342,Studio Ghibli
129,1779,Tokuma Shoten
129,6755,Nippon Television Network Corporation
129,11847,Mitsubishi
129,1778,dentsu
129,1780,TFC
2179,12,New Line Cinema
2179,2932,Red Hour
6278,9195,Touchstone Pictures
6278,158,Spyglass Entertainment
6278,80,The Zanuck Company
6278,7692,World 2000 Entertainment
6278,58262,Birnbaum/Barber Productions
1611912,153883,Jackpot FIlms
137,5,Columbia Pictures
10379,1382,PolyGram Filmed Entertainment
10379,10163,Working Title Films
10379,181,Channel Four Films
16523,174,Warner Bros. Pictures
16523,923,Legendary Pictures
16523,79,Village Roadshow Pictures
16523,4171,Playtone
16523,213477,KLG Film Invest
16523,279152,Wild Things Productions
141,19813,Flower Films
141,185,Pandora Cinema
141,28,Newmarket Films
12429,10342,Studio Ghibli
12429,882,TOHO
12429,6755,Nippon Television Network Corporation
12429,1778,dentsu
12429,11846,Hakuhodo DY Media Partners
12429,164892,The Walt Disney Company (Japan)
12429,11847,Mitsubishi
643215,20409,Les Éditions Albert René
643215,83068,Les Enfants Terribles
643215,7981,Pathé
643215,120768,Trésor Films
643215,11773,Artémis Productions
643215,175064,White and Yellow Films
643215,356,TF1 Films Production
1007757,115416,Skydance Animation
1007757,179999,Skydance Animation
39057,5372,OLM
39057,12653,Pikachu Project
39057,12654,The Pokémon Company
39057,9149,Shogakukan
39057,3034,TV Tokyo
39057,7967,Media Factory
39057,13070,TakaraTomy
39057,8157,jeki
39057,12655,Shogakukan-Shueisha Productions
12437,3287,Screen Gems
12437,126,Lakeshore Entertainment
12437,7738,Sketch Films
12437,7739,UW3 Film Productions
12444,174,Warner Bros. Pictures
12444,437,Heyday Films
12445,174,Warner Bros. Pictures
12445,437,Heyday Films
360605,146807,GWave Productions
360605,240533,Disney Channel
532639,2,Walt Disney Pictures
532639,1473,Depth of Field
532639,11395,ImageMovers
162,25,20th Century Fox
162,8601,Tim Burton Productions
86184,9300,TV Asahi
86184,4720,ADK
86184,9149,Shogakukan
86184,5141,Shin-Ei Animation
86184,12655,Shogakukan-Shueisha Productions
86184,15329,Fujiko Productions
682153,15329,Fujiko Productions
682153,5141,Shin-Ei Animation
682153,9149,Shogakukan
682153,9300,TV Asahi
682153,173235,ADK Emotions
682153,12655,Shogakukan-Shueisha Productions
37034,3407,Shanghai Film Group
37034,12206,Edko Management and Consulting
37034,10146,Focus Features
37034,10284,Edko Films
14506,5,Columbia Pictures
14506,11352,Prominent Features
14506,67081,Laura Film
14506,1755,Allied Filmmakers
936108,24955,Paramount Animation
936108,95063,Marcy Media
936108,152873,Peyo Productions
936108,216687,Domain Entertainment
936108,267222,International Motion Picture Studios (IMPS)
936108,267223,Lafig Belgium
936108,4,Paramount Pictures
173,3166,Walt Disney Productions
75948,59427,Juli Entertainment Media
522417,17009,Universal 1440 Entertainment
258230,1246,River Road Entertainment
258230,6735,Participant
258230,8111,Apaches Films
258230,53490,La Trini
258230,112286,A Monster Calls
258230,2674,Telecinco Cinema
