movie_id,genre_id
1664292,18
1664292,14
1664292,53
1664292,10749
1640271,53
1640271,14
1640271,18
1638934,12
1638934,16
1638934,35
1638934,14
1557243,28
1557243,878
1557243,14
1557243,12
1557243,18
1653854,16
1653854,14
1515314,14
1651614,35
1651614,14
1652480,27
1652480,14
1374094,14
1374094,18
1605125,12
1605125,14
1605125,10749
1418531,16
1418531,10751
1418531,12
1418531,14
1669079,14
1669079,27
1669079,18
1669079,35
1669079,36
1660992,14
1660992,18
1660992,878
1532494,35
1532494,14
1532494,12
1455109,35
1455109,14
1391623,18
1391623,14
1391623,35
1670314,16
1670314,14
1660316,16
1660316,10751
1660316,14
1660316,12
1660316,10402
1650450,18
1650450,14
1650433,18
1650433,9648
1650433,14
1580672,35
1580672,14
1556985,16
1556985,28
1556985,12
1556985,35
1556985,14
1007757,16
1007757,12
1007757,35
1007757,10751
1007757,14
1657282,14
1547764,14
1664302,10402
1664302,14
1664302,27
1226344,18
1226344,9648
1226344,14
931285,28
931285,14
931285,12
1468679,53
1468679,14
1232569,27
1232569,53
1232569,14
1664453,14
1664453,18
1658532,27
1658532,10749
1658532,28
1658532,14
1658532,53
1628157,14
1330021,18
1330021,14
1330021,9648
1310387,16
1310387,14
1310387,878
1310387,10749
1662716,18
1662716,10751
1662716,14
1573673,27
1573673,14
1675765,18
1675765,14
1637087,14
1637087,35
1637087,18
1422407,12
1422407,16
1422407,35
1422407,14
1367220,80
1367220,28
1367220,14
1367220,18
1671175,18
1671175,35
1671175,14
1657321,14
1657321,10751
1645200,10402
1645200,36
1645200,14
1645200,878
1555617,18
1555617,14
1555617,10751
1437615,10749
1437615,14
1437615,878
1669268,9648
1669268,18
1669268,14
1494142,35
1494142,14
1494142,10751
1667555,878
1667555,14
1542766,16
1542766,14
1554852,18
1554852,10749
1554852,14
1589713,28
1589713,18
1589713,27
1589713,14
1589713,53
1443961,53
1443961,18
1443961,14
1541128,10751
1541128,35
1541128,14
1541128,12
1646671,16
1646671,10751
1646671,12
1646671,14
1646671,35
1322562,16
1322562,14
1322562,9648
1298085,16
1298085,18
1298085,14
1298085,27
1664518,14
1664518,27
1664518,10749
1664518,53
1606423,18
1606423,14
1666059,14
1666059,35
454639,28
454639,14
454639,878
1263904,27
1263904,14
1576355,16
1576355,12
1576355,14
1617340,99
1617340,28
1617340,12
1617340,878
1617340,14
1652036,12
1652036,28
1652036,14
1652036,36
1523377,16
1523377,35
1523377,18
1523377,10751
1523377,14
1663547,878
1663547,14
1667599,16
1667599,14
1212912,878
1212912,14
1601185,35
1601185,14
1601185,18
1659077,16
1659077,878
1659077,18
1659077,14
1315772,16
1315772,10751
1315772,35
1315772,12
1315772,14
1669841,28
1669841,12
1669841,16
1669841,878
1669841,14
1647483,28
1647483,14
1647483,878
1647483,27
1277047,16
1277047,10751
1277047,14
1277047,12
1554962,14
1554962,16
1661381,27
1661381,53
1661381,14
1611912,18
1611912,10749
1611912,14
1581313,14
1581313,53
1581313,878
1642890,18
1642890,14
1642890,9648
1642890,10749
1108427,10751
1108427,14
1108427,35
1108427,12
1654313,28
1654313,878
1654313,16
1654313,14
1658666,16
1658666,14
1658666,12
1229939,14
1368337,12
1368337,18
1368337,14
1318621,14
1318621,10751
1318621,10770
1318621,10402
1151265,16
1151265,12
1151265,14
1617335,99
1617335,28
1617335,12
1617335,878
1617335,14
1365362,14
1365362,12
1135463,16
1135463,12
1135463,10749
1135463,14
1135463,10402
1565925,12
1565925,16
1565925,14
1661276,16
1661276,14
1661276,18
1627984,12
1627984,14
1627984,10751
1620243,18
1620243,14
1620243,9648
1533249,35
1533249,14
1533249,27
1533249,18
1182935,14
1182935,18
822653,16
822653,18
822653,9648
822653,14
1484222,18
1484222,10749
1484222,14
1484222,35
790798,28
790798,14
790798,878
1302904,14
1302904,18
