id,title,release_date,release_year,release_month,days_until_release,popularity,vote_average,vote_count,genres,original_language,overview
1651614,Shower Thoughts,2026-04-24,2026,4,13,0.0411,0.0,0,"Komedi, Fantasy",en,"A man takes a shower and is surprised to find out that all of his “shower thoughts,” normal and strange, have become a reality."
1652480,Der Nebel macht sie wütend,2026-04-26,2026,4,15,0.1045,0.0,0,"Skräck, Fantasy",de,
1605125,Mythos,2026-04-27,2026,4,16,0.7485,0.0,0,"Äventyr, Fantasy, 10749",en,"An Anthology about Greek Mythology from the point of view of a college student who's trying to save his grade. Going through stories such as Pandora's Box, Nymph, Narcissus, Orpheus and Eurydice, and finally Theseus. Each one reflecting how Mythology might not be history, but examples of who we are as people."
1418531,A Story About Fire,2026-04-28,2026,4,17,1.2795,0.0,0,"Animerat, Familj, Äventyr, Fantasy",zh,"The legend of Ran Bi Wa talks about a monkey who was raised by humans. When he sets off to the Holy Mountain to steal fire for humankind, a journey begins from which he will return transformed into a man."
1660992,Meet Saybika,2026-04-30,2026,4,19,0.1233,0.0,0,"Fantasy, Drama, Sci-Fi",ko,"Ye, who had always had the same dreams, begins having diverse dreams after accidentally discovering a mysterious dictionary. Realizing that she was receiving signals from someone every time she opened the dictionary, Ye discovers that her dreams were actually signals from Rainy."
1532494,The Monkey Hero,2026-04-30,2026,4,19,0.5761,0.0,0,"Komedi, Fantasy, Äventyr",th,"Once upon a time in a land far, far away, Tang Sanzang set out on a journey with Monkey King Jazz and Sha Wujing—However, one member was missing from their group: Zhu Baji."
1455109,Snorp: My Alien Friend 2,2026-04-30,2026,4,19,0.4631,0.0,0,"Komedi, Fantasy",ru,"Continuation of the adventures of the alien, sequel to the film ""Zhdun""."
1391623,77 Minutes,2026-04-30,2026,4,19,0.1602,0.0,0,"Drama, Fantasy, Komedi",ko,"Director Kim hasn't made a film in a decade. The lead of her first short appears as a spirit: ""You stopped filming—and I aged."" Betting her life savings on a 77-minute feature, she searches for a vanished actress. Reality and fantasy blur until the God of Film appears... ""Why do I love you?"""
1660316,Doremi Dalimi the Movie: Sing-Along Party,2026-05-01,2026,5,20,0.2657,0.0,0,"Animerat, Familj, Fantasy, Äventyr, 10402",ko,
1556985,Capybara,2026-05-01,2026,5,20,0.0721,0.0,0,"Animerat, Action, Äventyr, Komedi, Fantasy",et,Full animated capybara movie. Plot TBA
1007757,Swapped,2026-05-01,2026,5,20,3.9669,0.0,0,"Animerat, Äventyr, Komedi, Familj, Fantasy",en,"A tiny woodland creature and a majestic bird suddenly swap bodies, forcing them to team up to survive the wildest adventure of their lives."
1657282,A Road Trip to the Moon,2026-05-03,2026,5,22,0.0411,0.0,0,Fantasy,en,Four childhood friends go on a life-changing drive to the moon in a stolen car.
1547764,Más allá de la montaña,2026-05-05,2026,5,24,0.6694,0.0,0,Fantasy,es,
1664302,Bend Sinister,2026-05-06,2026,5,25,0.0336,0.0,0,"10402, Fantasy, Skräck",en,"An atheistic, musical/cinematic rendition of the beginning of the Bible through the lens of a vengeful and bloodthirsty Eve."
1226344,Karaí Octubre,2026-05-06,2026,5,25,0.5395,0.0,0,"Drama, 9648, Fantasy",es,
931285,Mortal Kombat II,2026-05-06,2026,5,25,8.1385,0.0,0,"Action, Fantasy, Äventyr",en,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders."
1468679,Shurale,2026-05-07,2026,5,26,1.0639,0.0,0,"53, Fantasy",ru,"Aysha is preparing for the wedding, but suddenly learns that her brother Timur has disappeared. In search of her brother, the girl returns to her native village, where she encounters not only her own past, but also a secret hidden in the depths of the forest."
1658532,Love Bites,2026-05-08,2026,5,27,0.1442,0.0,0,"Skräck, 10749, Action, Fantasy, 53",en,"After a young peasant is spurned by her vampiric lover, she embarks on a blood-soaked odyssey that spans centuries."
1628157,Matsu,2026-05-08,2026,5,27,0.2344,0.0,0,Fantasy,zh,
1330021,Remarkably Bright Creatures,2026-05-08,2026,5,27,2.6414,0.0,0,"Drama, Fantasy",en,"A lonely elderly widow named Tova forms an unlikely friendship with a curmudgeonly cephalopod octopus named Marcellus, but unbeknownst to her, Marcellus is on a mission to solve a mystery that will heal the widow’s heart and lead her to a life-changing discovery."
1310387,The Irregular at Magic High School THE MOVIE - Yotsuba Succession Arc -,2026-05-08,2026,5,27,1.2173,0.0,0,"Animerat, Fantasy, Sci-Fi, 10749",ja,"The invitation has arrived. It's time for the New Year's Reception at the Yotsuba family residence. This year, Miyuki and other candidates will gather there to decide who will be the next leader of their powerful clan. If chosen as successor, she would never again have to see her brother live as an outcast. At the same time, such a position would surely entail a political marriage, leaving her mind in complete turmoil. To complicate matters, the current head of the family sows doubt with a shocking statement. When the new year arrives, their relationship may change forever..."
1662716,Threadbare,2026-05-11,2026,5,30,0.0593,0.0,0,"Drama, Familj, Fantasy",en,"A boy crowns himself as king, unaware his kingdom is already losing someone."
1573673,It's Time to Grow Up,2026-05-12,2026,5,31,0.2367,0.0,0,"Skräck, Fantasy",en,"In a secluded castle, Margaret, a highly sensitive young girl, lives peacefully with her mother, Helen. On the evening of her twentieth birthday, Helen invites Margaret's grandmother, Agatha, for dinner. As the sun sets and the young girl lies on a tablecloth in the garden, a phrase written in an open notebook beside her, once whispered by her grandmother, suddenly catches her attention: ""It's Time to Grow Up""."
1637087,Good Omens 3,2026-05-13,2026,5,32,0.3637,0.0,0,"Fantasy, Komedi, Drama",en,The conclusion to the Good Omens story.
1422407,Conni and the Mystery of the Crane,2026-05-14,2026,5,33,0.8286,0.0,0,"Äventyr, Animerat, Komedi, Fantasy",de,"While her parents are traveling, Conni experiences an exciting adventure at home with cat Mau, her friends, Grandpa Willi, a stuffy neighbor – and an injured crane, who urgently needs help. Will Conni and her friends manage to get crane Klaus to fly south with the migrating birds in time?"
1367220,Karuppu,2026-05-14,2026,5,33,1.0035,0.0,0,"80, Action, Fantasy, Drama",ta,"In a world where justice falters, a powerful guardian awakens. A superhuman rises in a rotten world to set things right in this high-octane fantasy entertainer."
1657321,Sihirli Annem: Periler Okulu,2026-05-15,2026,5,34,0.4793,0.0,0,"Fantasy, Familj",tr,
1645200,Disco Hall Commitments,2026-05-15,2026,5,34,0.0364,0.0,0,"10402, 36, Fantasy, Sci-Fi",en,"""(...)the most important event of my day has been remembering the improbable adventure of H.K: 5000 years after the first kalaallit expedition, renowned and reviled archaeologist Herbjørg Kristofferson tries to lift up an ambitious budget for a reckless expedition to the Secret Pavilion of Monk Ko-Hu, near the Russian Arctic"""
1555617,Le temps d’une image,2026-05-15,2026,5,34,0.0793,0.0,0,"Drama, Fantasy, Familj",fr,
1494142,Bogatyrs,2026-05-21,2026,5,40,0.9244,0.0,0,"Komedi, Fantasy, Familj",ru,"Ancient Rus. The hero Svyatogor defeated the evil Sorcerer who wanted to conquer Rus - to do this, he used magic to turn into a Dragon. Svyatogor hid three artifacts (the claw, eye, and vein of the Dragon) in the modern world so that evil would never return. But because of the schoolboy Vanya, the Sorcerer's beloved enters our time. She wants to find these artifacts, resurrect the Dragon, and bring her betrothed back to life. Together with two heroes from ancient Rus, Vanya must find the villain and prevent her from carrying out her plan."
1554852,Onades,2026-05-25,2026,5,44,0.0381,0.0,0,"Drama, 10749, Fantasy",es,"Álvaro returns to his Mediterranean hometown to sell the family house. There, the Mediterranean comes alive and guides him through legends, customs and memories, on an intimate journey where past and present intertwine. Onades is a contemporary fable about identity, nostalgia and desire, a poetic and queer short film created from and for La Vila."
1589713,Dance of the Damned,2026-05-27,2026,5,46,0.8496,0.0,0,"Action, Drama, Skräck, Fantasy, 53",id,From the universe of Qodrat (2022).
1443961,Rao Bahadur,2026-05-27,2026,5,46,0.8414,0.0,0,"53, Drama, Fantasy",te,A demon haunts a mansion in the 1970s as India changes and the aristocracy fades.
1541128,Office of Magical Forces,2026-05-28,2026,5,47,0.4881,0.0,0,"Familj, Komedi, Fantasy, Äventyr",uk,"11-year-old Yurko and Mia accidentally stumble upon a mysterious entrance to Otherworldly Kyiv, which has existed since 482. Funny mystical characters come to life in the center of a modern metropolis, and the main characters find themselves in the midst of magical adventures."
1646671,Niesamowite przygody skarpetek 3. Ale kosmos!,2026-05-29,2026,5,48,0.0339,0.0,0,"Animerat, Familj, Äventyr, Fantasy, Komedi",pl,
1322562,Mononoke the Movie: Chapter III - The Curse of the Serpent,2026-05-29,2026,5,48,1.9856,0.0,0,"Animerat, Fantasy, 9648",ja,Third installment of the Mononoke movie trilogy.
1298085,Pig That Survived Foot-and-Mouth Disease,2026-05-29,2026,5,48,0.6709,0.0,0,"Animerat, Drama, Fantasy, Skräck",ko,"A pig wanting to be a human is ready to give it his all, whatever the cost. A human wanting to be an animal is ready to give up everything."
1664518,Nightmares Unleashed 2: Joseph's Revenge,2026-05-30,2026,5,49,0.1929,0.0,0,"Fantasy, Skräck, 10749, 53",en,"The Nightmare Never Ends as Raven must face her nightmares one last time, however Joseph knows how she is and is pulling out all the stops this time to finally claim his prize...Raven herself."
1606423,Spirits Talk,2026-05-30,2026,5,49,0.1039,0.0,0,"Drama, Fantasy",en,"A grieving woman’s reality and memories begin to blur as her adoptive mother, Mother Nikki, reaches out to her from the spirit realm. She must speak to her mother one last time—or risk losing the ability to love herself and others."
1666059,Monkey Boy,2026-06-01,2026,6,51,0.0214,0.0,0,"Fantasy, Komedi",fr,"Frank is a successful comic book author who is struggling to reinvent himself. His series is no longer selling, and his publisher is pushing him to move on. But Frank lives with Monkey Boy, the main character from his series, and he doesn’t know how to let him go."
454639,Masters of the Universe,2026-06-03,2026,6,53,9.7737,0.0,0,"Action, Fantasy, Sci-Fi",en,"After being separated for 15 years, the Sword of Power leads Prince Adam back to Eternia, where he discovers his home shattered under the fiendish rule of Skeletor. To save his family and his world, Adam must join forces with his closest allies, Teela and Duncan/Man-At-Arms, and embrace his true destiny as He-Man — the most powerful man in the universe."
1263904,Sleep No More,2026-06-04,2026,6,54,1.2695,0.0,0,"Skräck, Fantasy",id,"Two sisters deal with the sudden death of their mother at a wig factory. One believes it was suicide while the other is certain it was a result of possession and takes a job at the factory to uncover the truth. Meanwhile, their brother - born with an eerie gift to regenerate his own body - catches the attention of a ghostly figure roaming the factory, searching for a vessel to inhabit."
1576355,Todo: Beneath the Flower,2026-06-05,2026,6,55,0.0429,0.0,0,"Animerat, Äventyr, Fantasy",en,"Rendered in PS1-style 3D, Todo: Beneath the Flower follows a masked wanderer travelling through a surreal, low-poly world in search of the secret that blooms beneath a single flower."
1617340,Gokaiger Goseiger Super Sentai 199 Hero Great Battle: Movie Release Commemorative Special,2026-06-09,2026,6,59,0.0143,0.0,0,"99, Action, Äventyr, Sci-Fi, Fantasy",ja,"A televised special to commemorate the theatrical release of Gokaiger Goseiger Super Sentai 199 Hero Great Battle, commeorating the 35th anniversary of the Super Sentai franchise."
1652036,DRUID,2026-06-11,2026,6,61,0.3148,0.0,0,"Äventyr, Action, Fantasy, 36",en,"60 AD. Romans tighten their grip on Britannia. Druidism is hunted almost to extinction. after being driven out of their commune, Rhiain- a young druid and her master Gwen are forced to flee and traverse the wilds of Britannia in order to reach the sanctuary of the Druids - Ynys Môn. On their journey they will encounter great challenges and unlikely allies on a quest that will decide not only their survival, but the future of their way of life itself."
1523377,Garuda: Dare to Dream,2026-06-11,2026,6,61,0.384,0.0,0,"Animerat, Komedi, Drama, Familj, Fantasy",id,"Putra, a 13-year-old boy with asthma, dreams of playing for Indonesia's national team. Lacking skill but never passion, he joins trials at Sanca Perkasa Soccer School—only to face ridicule from Aldo, who mocks his weak body and failed attempts. Crushed, Putra retreats to a field near the cemetery to play with friends, where Aldo challenges them again. In the middle of the match, Putra suddenly collapses—and awakens in another realm. There, he meets Gaga, a glowing Garuda spirit who gifts him a mystical jersey, unlocking incredible speed, power, and skill. Can he rise above doubt and ridicule to become the footballer he longs to be?"
1663547,Beyond Files,2026-06-12,2026,6,62,0.058,0.0,0,"Sci-Fi, Fantasy",en,"Case files document encounters with alien forces and altered realities, uncovering a pattern beyond human understanding."
1212912,Cartório das Almas,2026-06-18,2026,6,68,0.0256,0.0,0,"Sci-Fi, Fantasy",pt,"Laura, a “young woman” of 126 years old, is the newly hired at Notary of Souls. In her new role, she records the motivations of those who renounced eternity. However, by contract, Laura herself cannot interrupt her tedious existence."
1601185,Chuckle Chuckle,2026-06-19,2026,6,69,0.3635,0.0,0,"Komedi, Fantasy, Drama",ja,"Aiming to become comedians, Sahara and his comedy partner Setoguchi work together on their act, ""Ultrasweet Sourpork"", until unfortunate circumstances lead to their disbandment. Hindered by roadblocks on the path to success, Sahara suddenly encounters an ""ideal"" version of himself—an ultra-famous comedian. Boasting rich knowledge for success as a comedian, this ""ideal"" Sahara begins meddling with the real Sahara's life."
1659077,Adgwa-Ata,2026-06-21,2026,6,71,0.2159,0.0,0,"Animerat, Sci-Fi, Drama, Fantasy",xx,"Abducted by a jungle tribe to undergo a brutal initiation, three teenage girls enter a divine realm where taming giant snakes – their totem animals – becomes a rite of passage into adulthood."
1315772,Minions & Monsters,2026-06-24,2026,6,74,5.2602,0.0,0,"Animerat, Familj, Komedi, Äventyr, Fantasy",en,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created."
1647483,Judge Michael - Rise of the Law,2026-06-26,2026,6,76,0.5796,0.0,0,"Action, Fantasy, Sci-Fi, Skräck",en,"A new enemy has risen on mega city one, his name is Voss Kane "" The Ripper "" bringing chaos to the streets, now a new judge has emerged from the hall of justice teached by Dredd himself, to uphold the law and bring justice to the streets."
